trait	fam	size	corr
87	Acoustic_Linear_Distance_BLUP	GaPL	30	0.420417864440314
88	Acoustic_Linear_Distance_BLUP	GaPL	40	0.756158462711064
89	Acoustic_Linear_Distance_BLUP	GaPL	50	0.536767098308949
90	Acoustic_Linear_Distance_BLUP	GaPL	60	0.610744163109645
91	Acoustic_Linear_Distance_BLUP	GaPL	70	0.584343598352903
92	Acoustic_Linear_Distance_BLUP	GaPL	80	0.813588170106391
93	Acoustic_Linear_Distance_BLUP	GaPL	90	0.764278112078258
94	Acoustic_Linear_Distance_BLUP	GaPL	100	0.770154287814705
95	Acoustic_Linear_Distance_BLUP	GaPL	110	0.865838630072827
96	Acoustic_Linear_Distance_BLUP	GaPL	120	0.765054184174838
97	Acoustic_Linear_Distance_BLUP	GaPL	130	0.728518693746596
98	Acoustic_Linear_Distance_BLUP	GaPL	140	0.677176283196429
99	Acoustic_Linear_Distance_BLUP	GaPL	150	0.709178272356424
100	Acoustic_Linear_Distance_BLUP	GaPL	160	0.733592201772987
101	Acoustic_Linear_Distance_BLUP	GaPL	170	0.716240546620945
102	Acoustic_Linear_Distance_BLUP	GaPL	180	0.701055145948946
103	Acoustic_Linear_Distance_BLUP	GaPL	190	0.71539315687971
104	Acoustic_Linear_Distance_BLUP	GaPL	200	0.725381250928631
105	Acoustic_Linear_Distance_BLUP	GaPL	210	0.739484253571787
106	Acoustic_Linear_Distance_BLUP	GDFj	10	-0.181002825940929
107	Acoustic_Linear_Distance_BLUP	GDFj	20	-0.106677065205802
108	Acoustic_Linear_Distance_BLUP	GDFj	30	-0.164856902407599
109	Acoustic_Linear_Distance_BLUP	GDFj	40	-0.368639175124026
110	Acoustic_Linear_Distance_BLUP	GDFj	50	-0.312980893091868
111	Acoustic_Linear_Distance_BLUP	GDFj	60	-0.0372186364346948
112	Acoustic_Linear_Distance_BLUP	GDFj	70	-0.188515654049618
113	Acoustic_Linear_Distance_BLUP	GDFj	80	-0.18911217011012
114	Acoustic_Linear_Distance_BLUP	GDFj	90	-0.239636679487325
115	Acoustic_Linear_Distance_BLUP	GDFj	100	-0.166510308519851
116	Acoustic_Linear_Distance_BLUP	GDFj	110	-0.0935962727248863
117	Acoustic_Linear_Distance_BLUP	GDFj	120	-0.101333728335243
118	Acoustic_Linear_Distance_BLUP	GDFj	130	-0.105101910883426
119	Acoustic_Linear_Distance_BLUP	GDFj	140	-0.216976333370625
120	Acoustic_Linear_Distance_BLUP	GDFj	150	-0.152997483957277
121	Acoustic_Linear_Distance_BLUP	GDFj	160	-0.088362303211564
122	Acoustic_Linear_Distance_BLUP	GDFj	170	-0.126645220861763
123	Acoustic_Linear_Distance_BLUP	GDFj	180	-0.123916766662109
124	Acoustic_Linear_Distance_BLUP	GDFj	190	-0.141983976067806
125	Acoustic_Linear_Distance_BLUP	GDFj	200	-0.154519937593623
126	Acoustic_Linear_Distance_BLUP	GDFj	210	-0.152244800069161
127	Acoustic_Max_Pressure_BLUP	FjDe	10	0.264599994390283
128	Acoustic_Max_Pressure_BLUP	FjDe	20	0.0373538660714664
129	Acoustic_Max_Pressure_BLUP	FjDe	30	-0.0396354060663344
130	Acoustic_Max_Pressure_BLUP	FjDe	40	0.120850642542586
131	Acoustic_Max_Pressure_BLUP	FjDe	50	0.190348279118955
132	Acoustic_Max_Pressure_BLUP	FjDe	60	0.258752161482462
133	Acoustic_Max_Pressure_BLUP	FjDe	70	0.115087527683714
134	Acoustic_Max_Pressure_BLUP	FjDe	80	0.0677794303384219
135	Acoustic_Max_Pressure_BLUP	FjDe	90	0.0816016403476042
136	Acoustic_Max_Pressure_BLUP	FjDe	100	0.173322036713752
137	Acoustic_Max_Pressure_BLUP	FjDe	110	0.153873954281065
138	Acoustic_Max_Pressure_BLUP	FjDe	120	0.0897295596761485
139	Acoustic_Max_Pressure_BLUP	FjDe	130	0.0680327401584615
140	Acoustic_Max_Pressure_BLUP	FjDe	140	0.0353521758725533
141	Acoustic_Max_Pressure_BLUP	FjDe	150	0.0157621966773924
142	Acoustic_Max_Pressure_BLUP	FjDe	160	0.0675936203594059
143	Acoustic_Max_Pressure_BLUP	FjDe	170	0.0154344747787163
144	Acoustic_Max_Pressure_BLUP	FjDe	180	0.0226603818603361
145	Acoustic_Max_Pressure_BLUP	FjDe	190	0.00345247988117262
146	Acoustic_Max_Pressure_BLUP	FjDe	200	0.0643676170743489
147	Acoustic_Max_Pressure_BLUP	FjDe	210	0.0112563924847823
148	Acoustic_Max_Pressure_BLUP	FjPL	10	-0.0855041452627289
149	Acoustic_Max_Pressure_BLUP	FjPL	20	0.0509912451415671
150	Acoustic_Max_Pressure_BLUP	FjPL	30	-0.00165217901247304
151	Acoustic_Max_Pressure_BLUP	FjPL	40	0.0213730094926665
152	Acoustic_Max_Pressure_BLUP	FjPL	50	-0.0400935880383512
153	Acoustic_Max_Pressure_BLUP	FjPL	60	0.0531742351873132
154	Acoustic_Max_Pressure_BLUP	FjPL	70	0.0827627095081253
155	Acoustic_Max_Pressure_BLUP	FjPL	80	0.0881356565993078
156	Acoustic_Max_Pressure_BLUP	FjPL	90	0.0756207633951152
157	Acoustic_Max_Pressure_BLUP	FjPL	100	0.0835847807619261
158	Acoustic_Max_Pressure_BLUP	FjPL	110	0.0722503648942015
159	Acoustic_Max_Pressure_BLUP	FjPL	120	0.0915848686794443
160	Acoustic_Max_Pressure_BLUP	FjPL	130	0.105794323725915
161	Acoustic_Max_Pressure_BLUP	FjPL	140	0.0875340233172537
162	Acoustic_Max_Pressure_BLUP	FjPL	150	0.0480182828307551
163	Acoustic_Max_Pressure_BLUP	FjPL	160	0.0360341742355427
164	Acoustic_Max_Pressure_BLUP	FjPL	170	0.0384608057921168
165	Acoustic_Max_Pressure_BLUP	FjPL	180	0.0447670476459967
166	Acoustic_Max_Pressure_BLUP	FjPL	190	0.0359987653020217
167	Acoustic_Max_Pressure_BLUP	FjPL	200	0.0792352585493842
168	Acoustic_Max_Pressure_BLUP	FjPL	210	0.0531551789471991
169	Acoustic_Max_Pressure_BLUP	FuPi	10	0.0451540878183804
170	Acoustic_Max_Pressure_BLUP	FuPi	20	0.0604130069115778
171	Acoustic_Max_Pressure_BLUP	FuPi	30	0.0433857049238485
172	Acoustic_Max_Pressure_BLUP	FuPi	40	0.114945590606829
173	Acoustic_Max_Pressure_BLUP	FuPi	50	0.261973098731514
174	Acoustic_Max_Pressure_BLUP	FuPi	60	0.197260842480584
175	Acoustic_Max_Pressure_BLUP	FuPi	70	0.201428185918333
176	Acoustic_Max_Pressure_BLUP	FuPi	80	0.230718947717246
177	Acoustic_Max_Pressure_BLUP	FuPi	90	0.241244997625224
178	Acoustic_Max_Pressure_BLUP	FuPi	100	0.163880095194628
179	Acoustic_Max_Pressure_BLUP	FuPi	110	0.162029904320503
180	Acoustic_Max_Pressure_BLUP	FuPi	120	0.0512412850986342
181	Acoustic_Max_Pressure_BLUP	FuPi	130	0.0261313569244528
182	Acoustic_Max_Pressure_BLUP	FuPi	140	0.104040494065815
183	Acoustic_Max_Pressure_BLUP	FuPi	150	0.121944829412278
184	Acoustic_Max_Pressure_BLUP	FuPi	160	0.0897697615058717
185	Acoustic_Max_Pressure_BLUP	FuPi	170	0.0830781350431636
186	Acoustic_Max_Pressure_BLUP	FuPi	180	0.164331258957933
187	Acoustic_Max_Pressure_BLUP	FuPi	190	0.212089222343745
188	Acoustic_Max_Pressure_BLUP	FuPi	200	0.18565584501098
189	Acoustic_Max_Pressure_BLUP	FuPi	210	0.248375465968107
190	Acoustic_Max_Pressure_BLUP	GaPi	10	0.399150327714524
191	Acoustic_Max_Pressure_BLUP	GaPi	20	0.162341378444108
192	Acoustic_Max_Pressure_BLUP	GaPi	30	-0.00267631456342752
193	Acoustic_Max_Pressure_BLUP	GaPi	40	0.205711638838586
194	Acoustic_Max_Pressure_BLUP	GaPi	50	0.202917683458444
195	Acoustic_Max_Pressure_BLUP	GaPi	60	0.223544659814886
196	Acoustic_Max_Pressure_BLUP	GaPi	70	0.176962083363668
197	Acoustic_Max_Pressure_BLUP	GaPi	80	0.307971268907524
198	Acoustic_Max_Pressure_BLUP	GaPi	90	0.257172131203684
199	Acoustic_Max_Pressure_BLUP	GaPi	100	0.351061491537676
200	Acoustic_Max_Pressure_BLUP	GaPi	110	0.412410946607129
201	Acoustic_Max_Pressure_BLUP	GaPi	120	0.387475067040737
202	Acoustic_Max_Pressure_BLUP	GaPi	130	0.453549090070323
203	Acoustic_Max_Pressure_BLUP	GaPi	140	0.434595652630064
204	Acoustic_Max_Pressure_BLUP	GaPi	150	0.420677629198333
205	Acoustic_Max_Pressure_BLUP	GaPi	160	0.459182010016973
206	Acoustic_Max_Pressure_BLUP	GaPi	170	0.449323154055379
207	Acoustic_Max_Pressure_BLUP	GaPi	180	0.431872182175813
208	Acoustic_Max_Pressure_BLUP	GaPi	190	0.457039721554961
209	Acoustic_Max_Pressure_BLUP	GaPi	200	0.485584571721186
210	Acoustic_Max_Pressure_BLUP	GaPi	210	0.459175928630953
211	Acoustic_Max_Pressure_BLUP	GaPL	10	-0.178950703039617
212	Acoustic_Max_Pressure_BLUP	GaPL	20	0.10830485088083
213	Acoustic_Max_Pressure_BLUP	GaPL	30	0.480114812207861
214	Acoustic_Max_Pressure_BLUP	GaPL	40	0.281682971756077
215	Acoustic_Max_Pressure_BLUP	GaPL	50	0.507043051791263
216	Acoustic_Max_Pressure_BLUP	GaPL	60	0.50616747943932
217	Acoustic_Max_Pressure_BLUP	GaPL	70	0.513347978151181
218	Acoustic_Max_Pressure_BLUP	GaPL	80	0.69875892535483
219	Acoustic_Max_Pressure_BLUP	GaPL	90	0.652290085112215
220	Acoustic_Max_Pressure_BLUP	GaPL	100	0.657733571966255
221	Acoustic_Max_Pressure_BLUP	GaPL	110	0.760517347566039
222	Acoustic_Max_Pressure_BLUP	GaPL	120	0.652753582438137
223	Acoustic_Max_Pressure_BLUP	GaPL	130	0.616462564568044
224	Acoustic_Max_Pressure_BLUP	GaPL	140	0.574504685281824
225	Acoustic_Max_Pressure_BLUP	GaPL	150	0.621144456107674
226	Acoustic_Max_Pressure_BLUP	GaPL	160	0.641108690769431
227	Acoustic_Max_Pressure_BLUP	GaPL	170	0.596415497322643
