Fam	Trait	Mean_acc	SD_acc
FjDe	Acoustic_Linear_Distance_BLUP	0.086901758206877	0.0766078346212456
FjDe	Acoustic_Max_Pressure_BLUP	-0.01838253780024	0.0804073155040083
FjDe	Acoustic_Mean_Pressure_BLUP	0.199930710562244	0.036577068087329
FjDe	Acoustic_Npeak_BLUP	0.0821206144290414	0.0892417939603234
FjDe	Area_BLUP	-0.163879144552232	0.0747081692316393
FjDe	Final_Force_BLUP	-0.139934985401058	0.0750299354108058
FjDe	Force_Linear_Distance_BLUP	-0.129190167504198	0.0418823417100085
FjDe	Initial_Force_BLUP	-0.233957595138857	0.0461078113660281
FjDe	Max_Force_BLUP	-0.184753379889263	0.0699149550020745
FjDe	Mean_Force_BLUP	-0.170501997353015	0.0740730922540501
FjDe	N_Peak_Force_BLUP	0.0175199685958302	0.108734444117262
FjDe	PC1	-0.120285319641353	0.0642713229187035
FjDe	PC2	0.248350579138546	0.0917109758439854
FjDe	Young_Module_BLUP	0.0738231911048274	0.0524190995146562
FjPL	Acoustic_Linear_Distance_BLUP	0.0467608262148151	0.0255685387452859
FjPL	Acoustic_Max_Pressure_BLUP	0.0289815507744776	0.0452371127955213
FjPL	Acoustic_Mean_Pressure_BLUP	-0.0387414696904457	0.0281913496235217
FjPL	Acoustic_Npeak_BLUP	0.0295075615396201	0.0472619114952407
FjPL	Area_BLUP	0.0343545801050281	0.0262561764616109
FjPL	Final_Force_BLUP	0.0629100549233486	0.0237636190017483
FjPL	Force_Linear_Distance_BLUP	0.0167459156158121	0.0395754889849525
FjPL	Initial_Force_BLUP	0.0526034432252487	0.0329738933942662
FjPL	Max_Force_BLUP	0.0530150273939454	0.0277909078516705
FjPL	Mean_Force_BLUP	0.0419804493682089	0.0285740943826641
FjPL	N_Peak_Force_BLUP	0.0398985574751165	0.0484594203512323
FjPL	PC1	0.0626221836445788	0.0388327953557587
FjPL	PC2	0.00239434283720785	0.0921511812673885
FjPL	Young_Module_BLUP	-0.00838609914860085	0.0278848810147995
FuPi	Acoustic_Linear_Distance_BLUP	0.115905265915011	0.0858304621739612
FuPi	Acoustic_Max_Pressure_BLUP	0.186106910935924	0.0829787082271854
FuPi	Acoustic_Mean_Pressure_BLUP	0.177209670684466	0.0581499410980281
FuPi	Acoustic_Npeak_BLUP	0.104811004709288	0.103478518783787
FuPi	Area_BLUP	0.151665084249555	0.0510063557022661
FuPi	Final_Force_BLUP	0.114052837560316	0.0423419468602701
FuPi	Force_Linear_Distance_BLUP	0.166580984691988	0.0713435759333709
FuPi	Initial_Force_BLUP	0.126455068819903	0.0762723187368973
FuPi	Max_Force_BLUP	0.126058967695528	0.0496564449149878
FuPi	Mean_Force_BLUP	0.145730074308154	0.0516116226828618
FuPi	N_Peak_Force_BLUP	0.234463829758801	0.11050743676261
FuPi	PC1	0.173963785440821	0.0327469369091158
FuPi	PC2	0.130276048639126	0.112422112025969
FuPi	Young_Module_BLUP	0.299070643707626	0.0433633726371174
GaPi	Acoustic_Linear_Distance_BLUP	0.424918827981265	7.11833802386089e-05
GaPi	Acoustic_Max_Pressure_BLUP	0.480121876177832	0.0149957145718753
GaPi	Acoustic_Mean_Pressure_BLUP	0.430589363091438	0.0329543994479709
GaPi	Acoustic_Npeak_BLUP	0.353692697410791	0.0209998942059926
GaPi	Area_BLUP	0.315239389829407	0.00692004895499804
GaPi	Final_Force_BLUP	0.406772769992814	0.0499853503408799
GaPi	Force_Linear_Distance_BLUP	0.215248465437248	0.104144626826365
GaPi	Initial_Force_BLUP	0.222330202740311	0.010759193636204
GaPi	Max_Force_BLUP	0.292063169378542	0.0191995056391991
GaPi	Mean_Force_BLUP	0.312146284712702	0.00748843890653487
GaPi	N_Peak_Force_BLUP	0.447127143151533	0.0900394740069716
GaPi	PC1	0.405860254819227	0.00365547932372616
GaPi	PC2	0.203129839969815	0.138138587832288
GaPi	Young_Module_BLUP	0.162271479867355	0.0168539520526136
GaPL	Acoustic_Linear_Distance_BLUP	0.705150622046904	0.172062710877607
GaPL	Acoustic_Max_Pressure_BLUP	0.599485321693886	0.161135334066906
GaPL	Acoustic_Mean_Pressure_BLUP	0.533516619207694	0.0954735962425265
GaPL	Acoustic_Npeak_BLUP	0.683737743096827	0.0406548073298953
GaPL	Area_BLUP	0.480062491185326	0.126857335797256
GaPL	Final_Force_BLUP	0.588356973670198	0.0611851476080726
GaPL	Force_Linear_Distance_BLUP	0.438314572257956	0.132276195287828
GaPL	Initial_Force_BLUP	0.303376061968664	0.167090861628484
GaPL	Max_Force_BLUP	0.449726871596557	0.0988894775962711
GaPL	Mean_Force_BLUP	0.475309254073544	0.127768956396706
GaPL	N_Peak_Force_BLUP	0.513975664624515	0.138780632562305
GaPL	PC1	0.644992546214408	0.0611263581277416
GaPL	PC2	0.2653747914352	0.41355073047071
GaPL	Young_Module_BLUP	0.513231779320051	0.0421009696435398
GDFj	Acoustic_Linear_Distance_BLUP	-0.181390467305382	0.143559175783753
GDFj	Acoustic_Max_Pressure_BLUP	0.110229474946951	0.0397857612907736
GDFj	Acoustic_Mean_Pressure_BLUP	-0.0285084392170682	0.0552148845394201
GDFj	Acoustic_Npeak_BLUP	-0.199465574105579	0.172895976187552
GDFj	Area_BLUP	-0.155193098827025	0.102907533209391
GDFj	Final_Force_BLUP	-0.203518897631015	0.0957766920077265
GDFj	Force_Linear_Distance_BLUP	-0.183317877940825	0.0894784298194712
GDFj	Initial_Force_BLUP	-0.189584937979878	0.0659532432308729
GDFj	Max_Force_BLUP	-0.196192298320115	0.0975685513613972
